ds,yhat1
2019-02-01,1068204.5625
2019-03-01,1103325.8125
2019-04-01,1296730.625
2019-05-01,1403898.625
2019-06-01,1300587.5
2019-07-01,1355595.25
2019-08-01,1457236.625
2019-09-01,1341251.875
2019-10-01,1273283.375
2019-11-01,1395602.125
2019-12-01,1160549.1875
2020-01-01,1174556.25
2020-02-01,1128913.5625
2020-03-01,805638.875
2020-04-01,1047304.125
2020-05-01,1147997.3125
2020-06-01,1202970.75
2020-07-01,1267754.25
2020-08-01,1423424.625
2020-09-01,1280514.0
2020-10-01,1117793.6875
2020-11-01,1332190.0
2020-12-01,1189758.125
2021-01-01,837980.875
2021-02-01,864685.125
2021-03-01,1166912.5
2021-04-01,1302257.5
2021-05-01,1421648.375
2021-06-01,1328593.875
2021-07-01,1383861.875
2021-08-01,1477109.625
2021-09-01,1186687.75
2021-10-01,1290706.75
2021-11-01,1430206.125
2021-12-01,1228765.375
2022-01-01,1170802.0
2022-02-01,1125837.375
2022-03-01,1098833.0625
2022-04-01,1279943.15625
2022-05-01,1364725.325
2022-06-01,1318693.75
2022-07-01,1388825.5357142857
2022-08-01,1478196.125
2022-09-01,1291788.125
2022-10-01,1401049.2125
2022-11-01,1302450.5
2022-12-01,1213561.43125
2023-01-01,1234844.201388889
2023-02-01,1211497.2265625
2023-03-01,1265625.6785714286
2023-04-01,1396732.0625
2023-05-01,1440422.575
2023-06-01,1340431.234375
2023-07-01,1411229.7916666667
2023-08-01,1513826.6875
2023-09-01,1285357.375
