Menu Item,Calories (kcal),Fat Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Allergens
Doritos¢ç Nacho Cheese Tortilla Chips,240.0,130.0,14.0,2.0,0.0,0.0,360.0,28.0,2.0,0.0,3.0,M
"Fries, Large",450.0,190.0,21.0,3.0,0.0,0.0,950.0,59.0,4.0,0.0,8.0,
"Fries, Regular",280.0,110.0,13.0,2.0,0.0,0.0,590.0,36.0,3.0,0.0,5.0,
Lay¡¯s¢ç BBQ Potato Chips,230.0,140.0,15.0,2.0,0.0,0.0,230.0,23.0,2.0,3.0,3.0,
Lay¡¯s¢ç Potato Chips - Original,240.0,140.0,16.0,2.0,0.0,0.0,250.0,23.0,2.0,1.0,3.0,
"Onion Rings, Large",450.0,180.0,20.0,3.0,0.0,0.0,1050.0,60.0,3.0,4.0,7.0,M\W
"Onion Rings, Regular",290.0,120.0,13.0,2.0,0.0,0.0,680.0,39.0,2.0,3.0,5.0,M\W
Oven Baked Lay¡¯s¢ç Original Potato Crisps,130.0,20.0,2.0,0.0,0.0,0.0,150.0,26.0,2.0,2.0,2.0,S
Soft Pretzel Sticks with Zesty Queso,330.0,80.0,9.0,3.0,0.0,5.0,2060.0,52.0,2.0,7.0,9.0,M\W
BBQ Dipping Sauce Cup,90.0,0.0,0.0,0.0,0.0,0.0,430.0,21.0,1.0,16.0,1.0,
Country Gravy Dipping Sauce,70.0,40.0,4.5,1.5,,0.0,360.0,6.0,0.0,1.0,0.0,M\S\W
Honey Mustard Dipping Sauce Cup,240.0,180.0,20.0,3.0,0.0,15.0,450.0,15.0,0.0,14.0,1.0,E
House Made Hidden Valley Ranch Dipping Sauce Cup,220.0,200.0,22.0,4.0,0.0,20.0,370.0,3.0,0.0,2.0,1.0,E\M\S
Kraft Fat Free Italian Dressing,25.0,2.0,0.3,0.0,0.0,0.0,380.0,4.0,0.0,3.0,0.5,M
Kraft Honey Mustard Dressing,130.0,80.0,9.0,1.5,0.2,10.0,330.0,12.0,0.0,0.0,0.3,E
Marzetti Dijon Honey Mustard,180.0,150.0,16.0,2.5,,10.0,230.0,7.0,0.0,7.0,0.0,E
Marzetti Light Italian Dressing,15.0,10.0,1.0,0.0,0.0,0.0,730.0,2.0,0.0,2.0,0.0,
Wild Buffalo Dipping Sauce Cup,90.0,90.0,10.0,1.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,
Zesty Queso Dipping Sauce,110.0,90.0,10.0,3.0,0.0,10.0,570.0,3.0,0.0,1.0,2.0,M
BBQ Sandwich,280.0,60.0,7.0,2.5,0.0,25.0,750.0,39.0,2.0,12.0,14.0,W
Chili Cheese Fries,990.0,470.0,52.0,14.0,1.0,50.0,2280.0,107.0,9.0,4.0,25.0,M\S
Corn Dog,240.0,120.0,13.0,3.0,0.0,25.0,390.0,25.0,2.0,7.0,6.0,E\M\S\W
Mega Chili Cheese Dog,760.0,440.0,49.0,20.0,2.0,100.0,1910.0,49.0,2.0,6.0,32.0,M\S\W
Pork Tenderloin Sandwich,600.0,310.0,34.0,7.0,0.0,45.0,990.0,52.0,3.0,7.0,21.0,E\M\S\W
Steakfinger Basket,940.0,460.0,51.0,13.0,0.5,50.0,2120.0,97.0,5.0,3.0,23.0,E\M\S\W
Wild Alaskan Fish Sandwich,420.0,140.0,16.0,3.0,0.0,30.0,960.0,50.0,1.0,7.0,17.0,E\F\W
Butterfinger¢ç Blizzard - Mini,350.0,110.0,12.0,7.0,0.0,30.0,150.0,52.0,1.0,41.0,9.0,M\P\S\(E)\(T)\(W)
Butterfinger¢ç Blizzard - Small,520.0,160.0,18.0,11.0,0.5,40.0,230.0,76.0,1.0,58.0,13.0,M\P\S\(E)\(T)\(W)
Butterfinger¢ç Blizzard - Medium,730.0,230.0,26.0,15.0,1.0,55.0,330.0,107.0,2.0,81.0,18.0,M\P\S\(E)\(T)\(W)
Butterfinger¢ç Blizzard - Large,970.0,310.0,34.0,20.0,1.0,75.0,440.0,142.0,2.0,108.0,24.0,M\P\S\(E)\(T)\(W)
Choco Brownie Extreme Blizzard - Mini,400.0,150.0,17.0,10.0,0.0,30.0,180.0,56.0,2.0,45.0,9.0,E\M\S\W
Choco Brownie Extreme Blizzard - Small,620.0,250.0,28.0,15.0,0.5,40.0,280.0,86.0,3.0,68.0,12.0,E\M\S\W
Choco Brownie Extreme Blizzard - Medium,810.0,330.0,36.0,21.0,1.0,55.0,370.0,111.0,4.0,87.0,16.0,E\M\S\W
Choco Brownie Extreme Blizzard - Large,1120.0,460.0,52.0,28.0,1.0,70.0,510.0,154.0,6.0,120.0,22.0,E\M\S\W
Chocolate Chip Cookie Dough Blizzard - Mini,420.0,140.0,16.0,9.0,0.0,30.0,220.0,61.0,1.0,46.0,8.0,M\S\W
Chocolate Chip Cookie Dough Blizzard - Small,710.0,250.0,28.0,16.0,0.5,45.0,380.0,104.0,1.0,76.0,12.0,M\S\W
Chocolate Chip Cookie Dough Blizzard - Medium,1030.0,370.0,41.0,24.0,1.0,60.0,570.0,151.0,2.0,111.0,17.0,M\S\W
Chocolate Chip Cookie Dough Blizzard - Large,1340.0,480.0,53.0,32.0,1.0,75.0,740.0,195.0,3.0,143.0,22.0,M\S\W
Heath¢ç Blizzard - Mini,370.0,140.0,15.0,9.0,0.0,30.0,180.0,53.0,0.0,46.0,8.0,M\S\T\(E)\(P)\(W)
Heath¢ç Blizzard - Small,600.0,230.0,25.0,16.0,0.5,50.0,300.0,84.0,1.0,74.0,11.0,M\S\T\(E)\(P)\(W)
Heath¢ç Blizzard - Medium,860.0,330.0,37.0,23.0,1.0,65.0,440.0,119.0,1.0,106.0,16.0,M\S\T\(E)\(P)\(W)
Heath¢ç Blizzard - Large,1150.0,450.0,50.0,32.0,1.5,85.0,590.0,159.0,2.0,142.0,20.0,M\S\T\(E)\(P)\(W)
