Menu Item,Calories (kcal),Fat Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Allergens
Chocolate Cone - Medium,340.0,90.0,10.0,6.0,0.0,30.0,130.0,52.0,0.0,35.0,8.0,M\W
Chocolate Cone - Small,240.0,70.0,7.0,4.5,0.0,25.0,90.0,36.0,0.0,25.0,6.0,M\W
"Dipped Cone, Butterscotch - Kids'",210.0,80.0,9.0,7.0,0.0,15.0,70.0,28.0,0.0,21.0,4.0,M\S\W
"Dipped Cone, Butterscotch - Large",640.0,270.0,30.0,23.0,0.5,45.0,220.0,83.0,0.0,63.0,12.0,M\S\W
"Dipped Cone, Butterscotch - Medium",460.0,190.0,21.0,17.0,0.0,30.0,150.0,59.0,0.0,45.0,8.0,M\S\W
"Dipped Cone, Butterscotch - Small",320.0,130.0,15.0,12.0,0.3,25.0,105.0,40.0,0.0,32.0,6.0,M\S\W
"Dipped Cone, Cherry - Kids'",210.0,80.0,9.0,7.0,0.0,15.0,65.0,28.0,0.0,20.0,4.0,M\S\W
"Dipped Cone, Cherry - Large",650.0,270.0,30.0,24.0,0.5,45.0,200.0,82.0,0.0,62.0,12.0,M\S\W
"Dipped Cone, Cherry - Medium",460.0,200.0,22.0,18.0,0.0,30.0,140.0,58.0,0.0,44.0,8.0,M\S\W
"Dipped Cone, Cherry - Small",320.0,140.0,15.0,12.0,0.0,25.0,95.0,40.0,0.0,31.0,6.0,M\S\W
"Dipped Cone, Chocolate - Kids'",200.0,80.0,9.0,7.0,0.0,15.0,65.0,28.0,0.0,20.0,4.0,M\S\W
"Dipped Cone, Chocolate - Large",640.0,270.0,30.0,23.0,0.5,45.0,200.0,81.0,1.0,60.0,13.0,M\S\W
"Dipped Cone, Chocolate - Medium",460.0,190.0,22.0,17.0,0.0,30.0,140.0,58.0,1.0,43.0,9.0,M\S\W
"Dipped Cone, Chocolate - Small",320.0,130.0,15.0,12.0,0.0,25.0,95.0,40.0,1.0,30.0,6.0,M\S\W
Vanilla Cone - Kids',160.0,40.0,4.5,3.0,0.2,15.0,65.0,25.0,0.0,18.0,4.0,M\W
Vanilla Cone - Large,450.0,120.0,14.0,9.0,0.5,45.0,180.0,71.0,0.0,52.0,12.0,M\W
Vanilla Cone - Medium,320.0,90.0,10.0,6.0,0.0,30.0,130.0,50.0,0.0,36.0,8.0,M\W
Vanilla Cone - Small,220.0,60.0,7.0,4.5,0.0,25.0,90.0,34.0,0.0,26.0,6.0,M\W
Mango Pineapple Smoothie - Large,420.0,0.0,0.0,0.0,0.0,0.0,180.0,96.0,1.0,92.0,8.0,M
Mango Pineapple Smoothie - Medium,330.0,0.0,0.0,0.0,0.0,0.0,135.0,77.0,1.0,74.0,6.0,M
Mango Pineapple Smoothie - Small,250.0,0.0,0.0,0.0,0.0,0.0,90.0,59.0,1.0,56.0,4.0,M
Mango Pineapple Smoothie - XLarge,590.0,5.0,0.0,0.0,0.0,0.0,230.0,136.0,1.0,130.0,10.0,M
Strawberry Banana Smoothie - Large,440.0,5.0,0.0,0.0,0.0,0.0,190.0,103.0,3.0,93.0,8.0,M
Strawberry Banana Smoothie - Medium,350.0,5.0,0.0,0.0,0.0,0.0,140.0,83.0,3.0,75.0,6.0,M
Strawberry Banana Smoothie - Small,260.0,0.0,0.0,0.0,0.0,0.0,100.0,62.0,2.0,56.0,4.0,M
Strawberry Banana Smoothie - XLarge,620.0,5.0,0.5,0.0,0.0,0.0,240.0,144.0,5.0,131.0,11.0,M
Tripleberry Smoothie - Large,460.0,0.0,0.0,0.0,0.0,0.0,180.0,107.0,2.0,104.0,8.0,M
Tripleberry Smoothie - Medium,370.0,0.0,0.0,0.0,0.0,0.0,135.0,87.0,2.0,84.0,6.0,M
Tripleberry Smoothie - Small,280.0,0.0,0.0,0.0,0.0,0.0,90.0,66.0,1.0,65.0,4.0,M
Tripleberry Smoothie - XLarge,660.0,0.0,0.0,0.0,0.0,0.0,220.0,153.0,3.0,149.0,10.0,M
