표지일련번호,표지종별,x,y,근거리사진1,근거리사진2,근거리사진3,근거리사진4,근거리사진5,원거리사진1,원거리사진2,경도,위도
"RR-1131[516로]-상-88","3방향예고표지","161187.28","-25702.86","/2012-05-18/RR1131U/56.gif","","","","","/2012-05-18/RR1131U/56-1.gif","","126.58430070","33.26398510"
"RR-1131[516로]-상-100","3방향표지","161279.5","-25295.38","/2001-8-22/국도11남북/국도-11-남북-13근거리1.jpg","","","","","/2001-8-22/국도11남북/국도-11-남북-13원거리.jpg","","126.58535052","33.26765138"
"UR(서귀포시)-[한신로]-상-8","3방향표지","175106.76","-20136.61","/2006-02-13/GRP090432의귀-신흥U/군도32-1-1(근거리).jpg","","","","","/2006-04-06/GRP090432U/GR(P0904)-32의귀-신흥-상-1.jpg","","126.73354912","33.31459856"
"UR(서귀포시)-[한신로]-하-12","3방향표지","175202.9","-20086.41","/2006-02-13/GRP090432의귀-신흥D/군도32-2-1(근거리).jpg","","","","","/2006-02-13/GRP090432의귀-신흥D/군도32-2-2(원거리).jpg","","126.73459902","33.31499020"
"UR(서귀포시)-[하례로]-상-5","3방향표지","164550.11","-23460.3","/2006-02-13/GRP090449하례-직사동U/군도49-1-1(근거리).jpg","","","","","/2006-02-13/GRP090449하례-직사동U/군도49-1-2(원거리).jpg","","126.62042211","33.28434176"
"UR(서귀포시)-[하례로]-하-4","3방향표지","164468.81","-23302.31","/2006-02-13/GRP090449하례-직사동D/군도49-2-1(근거리).jpg","","","","","/2006-02-13/GRP090449하례-직사동D/군도49-2-2(원거리).jpg","","126.61940966","33.28571660"
"RR-1136[중산간동로]-상-129","2지명이정표지","179316.24","-2750.11","/2005-05-13/NR16U/NR-16-상-177.jpg","","","","","/2005-05-13/NR16U/NR-16-상-177(1).jpg","","126.77835416","33.47143196"
"RR-1136[중산간동로]-상-112","1지명방향표지","172734.41","1363.17","/2005-04-20/NR16U/NR-16-상-164(1).jpg","","","","","/2005-04-20/NR16U/NR-16-상-164.jpg","","126.70744030","33.50836400"
"RR-1136[중산간동로]-상-386","분기점표지","167066.97","534.39","/2005-04-20/NR16U/NR-16-상-151(1).jpg","","","","","/2005-04-20/NR16U/NR-16-상-151.jpg","","126.64647325","33.50073928"
"RR-1136[아연로]-상-88","좌우이정표지","157025.39","-1939.84","/2001-8-23/국도16서동/국도-16-서동-136근거리1.jpg","","","","","/2001-8-23/국도16서동/국도-16-서동-136원거리.jpg","","126.53851233","33.47799406"
