id,cid,name,addr,use_time,free,b_name,b_call,type,x_crdn,y_crdn
PI201650,02,블랙스톤리조트,"제주특별자치도 제주시 한림읍 한창로 925-122 (금악리, 블랙스톤CC)",24시간 이용가능,N,차지비,1600-4047,02,33.337100,126.313000
PI201650,03,블랙스톤리조트,"제주특별자치도 제주시 한림읍 한창로 925-122 (금악리, 블랙스톤CC)",24시간 이용가능,N,차지비,1600-4047,02,33.337100,126.313000
PI201686,01,월드씨엔에스 주식회사,제주특별자치도 제주시 조천읍 남조로1길 174 (조천리), ,Y,차지비,1600-4047,02,33.517000,126.654000
PI201686,02,월드씨엔에스 주식회사,제주특별자치도 제주시 조천읍 남조로1길 174 (조천리), ,Y,차지비,1600-4047,02,33.517000,126.654000
PI201719,01,의료법인중앙의료재단 중앙병원,"제주특별자치도 제주시 월랑로 91 (이호이동, S중앙병원)", ,Y,차지비,1600-4047,02,33.492200,126.471000
PI201719,02,의료법인중앙의료재단 중앙병원,"제주특별자치도 제주시 월랑로 91 (이호이동, S중앙병원)", ,Y,차지비,1600-4047,02,33.492200,126.471000
PI201719,03,의료법인중앙의료재단 중앙병원,"제주특별자치도 제주시 월랑로 91 (이호이동, S중앙병원)", ,Y,차지비,1600-4047,02,33.492200,126.471000
PI201742,01,노형맨션아아파트,"제주특별자치도 제주시 정존3길 12 (노형동, 노형맨션)", ,Y,차지비,1600-4047,02,33.482900,126.473000
PI201795,01,뉴코리아유스호스텔,"제주특별자치도 제주시 애월읍 하소로 769-15 (유수암리, 뉴코리아유스호호텔)", ,Y,차지비,1600-4047,02,33.416900,126.398000
PI202116,01,대진유토피아대표회의,"제주특별자치도 서귀포시 표선면 번영로3428번길 129 (표선리, 대진유토피아)", ,Y,차지비,1600-4047,02,33.342200,126.815000
PI202116,02,대진유토피아대표회의,"제주특별자치도 서귀포시 표선면 번영로3428번길 129 (표선리, 대진유토피아)", ,Y,차지비,1600-4047,02,33.342200,126.815000
PI202116,03,대진유토피아대표회의,"제주특별자치도 서귀포시 표선면 번영로3428번길 129 (표선리, 대진유토피아)", ,Y,차지비,1600-4047,02,33.342200,126.815000
PI202116,04,대진유토피아대표회의,"제주특별자치도 서귀포시 표선면 번영로3428번길 129 (표선리, 대진유토피아)", ,Y,차지비,1600-4047,02,33.342200,126.815000
PI202116,05,대진유토피아대표회의,"제주특별자치도 서귀포시 표선면 번영로3428번길 129 (표선리, 대진유토피아)", ,Y,차지비,1600-4047,02,33.342200,126.815000
PI202183,01,주식회사 삼광개발,"제주특별자치도 제주시 탑동로 47 (삼도이동, 제주오리엔탈호텔)", ,Y,차지비,1600-4047,02,33.516900,126.522000
PI202183,02,주식회사 삼광개발,"제주특별자치도 제주시 탑동로 47 (삼도이동, 제주오리엔탈호텔)", ,Y,차지비,1600-4047,02,33.516900,126.522000
PI202183,03,주식회사 삼광개발,"제주특별자치도 제주시 탑동로 47 (삼도이동, 제주오리엔탈호텔)", ,Y,차지비,1600-4047,02,33.516900,126.522000
PI202250,01,소프트라인제주지점,제주특별자치도 서귀포시 예래해안로 15 (하예동), ,Y,차지비,1600-4047,02,33.233500,126.369000
PI202250,02,소프트라인제주지점,제주특별자치도 서귀포시 예래해안로 15 (하예동), ,Y,차지비,1600-4047,02,33.233500,126.369000
PI202277,01,에스호텔주식회사,"제주특별자치도 제주시 오일장중길 26 (도두일동, 에스관광호텔)", ,Y,차지비,1600-4047,02,33.495400,126.471000
PI202277,02,에스호텔주식회사,"제주특별자치도 제주시 오일장중길 26 (도두일동, 에스관광호텔)", ,Y,차지비,1600-4047,02,33.495400,126.471000
PI202308,01,강정코아루아파트2단지,제주특별자치도 서귀포시 신서로 85 (강정동), ,Y,차지비,1600-4047,02,33.257900,126.505000
PI202308,02,강정코아루아파트2단지,제주특별자치도 서귀포시 신서로 85 (강정동), ,Y,차지비,1600-4047,02,33.257900,126.505000
