id,cid,name,addr,use_time,free,b_name,b_call,type,x_crdn,y_crdn,cal1,cal2,check,1,2,3,4,5,6
BT000001,1,보타리에너지,제주특별자치도 제주시 애월읍 녹근로 130,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.40864,126.317386,6,1,0,0,0,0,0,0,1
BT000002,1,보타리에너지(오름재),제주특별자치도 제주시 애월읍 돈물내길 16,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.398486,126.326259,6,1,0,0,0,0,0,0,1
BT000003,1,포레스트사파리,제주특별자치도 제주시 조천읍 선교로 474-1,24시간 이용가능,Y,보타리에너지,080-799-9100,5,33.463075,126.70884,5,1,0,0,0,0,0,1,0
BT000003,2,포레스트사파리,제주특별자치도 제주시 조천읍 선교로 474-1,24시간 이용가능,Y,보타리에너지,080-799-9100,5,33.463075,126.70884,10,2,1,0,0,0,0,2,0
BT000004,1,유수암주유소,제주특별자치도 제주시 애월읍 유수암 평화10길2,24시간 이용가능,Y,보타리에너지,080-799-9100,5,33.427569,126.410881,5,1,0,0,0,0,0,1,0
BT000005,1,그리스박물관,제주특별자치도 제주시 한림읍 광산로 942,24시간 이용가능,Y,보타리에너지,080-799-9100,5,33.347946,126.356832,5,1,0,0,0,0,0,1,0
BT000006,1,CU김녕교차로점,제주특별자치도 제주시 구좌읍 일주동로 1998,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.55122099,126.7438001,6,1,0,0,0,0,0,0,1
BT000007,1,금악주유소,제주특별자치도 제주시 한림읍 한창로 1249,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.35333585,126.2983902,6,1,0,0,0,0,0,0,1
BT000008,1,제주담,제주특별자치도 제주시 구좌읍 비자림로 1575,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.45110761,126.768026,6,1,0,0,0,0,0,0,1
BT000009,1,와흘을그리다,제주특별자치도 제주시 조천읍 남조로 2213,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.46252622,126.6603668,6,1,0,0,0,0,0,0,1
BT000010,1,마마뜰카페,제주특별자치도 서귀포시 안덕면 신화역사로403번길 82,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.30998073,126.3337272,6,1,0,0,0,0,0,0,1
BT000011,1,한솜카페,제주특별자치도 제주시 진군남2길 10-7,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.47552119,126.4771929,6,1,0,0,0,0,0,0,1
BT000012,1,산방산나들목,제주특별자치도 서귀포시 안덕면 사계남로 189,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.23028266,126.308134,6,1,0,0,0,0,0,0,1
BT000013,1,제주다와풀빌라,제주특별자치도 서귀포시 안덕면 소기왓로 81-4,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.24232974,126.3681387,6,1,0,0,0,0,0,0,1
BT000014,1,스놉부티쿠스테이,제주특별자치도 서귀포시 예래해안로 17,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.23321866,126.36943,6,1,0,0,0,0,0,0,1
BT000015,1,자연과사람들,제주특별자치도 제주시 조천읍 남조로 2185,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.46047489,126.6611223,6,1,0,0,0,0,0,0,1
BT000016,1,제이이피,제주특별자치도 서귀포시 태평로120번길 20,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.242671,126.535552,6,1,0,0,0,0,0,0,1
BT000017,1,농업회사법인경덕,제주특별자치도 제주시 조천읍 선교로 117,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.48693216,126.7060525,6,1,0,0,0,0,0,0,1
BT000018,1,도치돌,제주특별자치도 제주시 애월읍 천덕로 440-1,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.41982475,126.3391791,6,1,0,0,0,0,0,0,1
BT000019,1,동광메밀짬뽕,제주특별자치도 서귀포시 안덕면 신화역사로 581,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.31054828,126.3498085,6,1,0,0,0,0,0,0,1
BT000020,1,대평회센터,제주특별자치도 서귀포시 안덕면 대평로 52,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.23768242,126.3620592,6,1,0,0,0,0,0,0,1
BT000021,1,골체오름쉼터,제주특별자치도 제주시 조천읍 번영로 1656,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.45479682,126.7060857,6,1,0,0,0,0,0,0,1
BT000021,2,골체오름쉼터,제주특별자치도 제주시 조천읍 번영로 1656,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.45479682,126.7060857,12,2,1,0,0,0,0,0,2
BT000022,1,달스테이,제주특별자치도 제주시 애월읍 중산간서로 6333,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.45688686,126.4078767,6,1,0,0,0,0,0,0,1
BT000023,1,돈내코순두부한림점,제주특별자치도 제주시 한림읍 한상로 72,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.40970507,126.2824974,6,1,0,0,0,0,0,0,1
BT000023,2,돈내코순두부한림점,제주특별자치도 제주시 한림읍 한상로 72,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.40970507,126.2824974,12,2,1,0,0,0,0,0,2
BT000024,1,동아물산,제주특별자치도 제주시 한림읍 한림로 564,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.40782979,126.2579761,6,1,0,0,0,0,0,0,1
BT000024,2,동아물산,제주특별자치도 제주시 한림읍 한림로 564,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.40782979,126.2579761,12,2,1,0,0,0,0,0,2
BT000025,1,선래왓절,제주특별자치도 제주시 조천읍 선진길 66-2,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.45824253,126.7086637,6,1,0,0,0,0,0,0,1
BT000026,1,제주갤럭시호텔,제주특별자치도 제주시 남성로 33,24시간 이용가능,Y,보타리에너지(주),1588-5339,6,33.50310055,126.5124983,6,1,0,0,0,0,0,0,1
BT000027,1,스퀘어오션타운,제주특별자치도 제주시 조천읍 신흥로 33,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.546511,126.65222,5,1,0,0,0,0,0,1,0
BT000027,2,스퀘어오션타운,제주특별자치도 제주시 조천읍 신흥로 33,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.546511,126.65222,10,2,1,0,0,0,0,2,0
BT000028,1,라온랜드,제주특별자치도 제주시 한림읍 월림7길 155,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.355585,126.242011,5,1,0,0,0,0,0,1,0
BT000028,2,라온랜드,제주특별자치도 제주시 한림읍 월림7길 155,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.355585,126.242011,10,2,1,0,0,0,0,2,0
BT000029,1,장촌한우마을,제주특별자치도 제주시 애월읍 천덕로 440-4,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.420124,126.338883,5,1,0,0,0,0,0,1,0
BT000030,1,도노미농산물,제주특별자치도 제주시 애월읍 곽봉로 213,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.42958611,126.313339,5,1,0,0,0,0,0,1,0
BT000031,1,제주코,제주특별자치도 제주시 한림읍 중산간서로 4494,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.372684,126.284578,5,1,0,0,0,0,0,1,0
BT000032,1,만복흑돼지,제주특별자치도 서귀포시 안덕면 산방로 53,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.243512,126.327026,5,1,0,0,0,0,0,1,0
BT000033,1,아만토브펜션,제주특별자치도 서귀포시 예래로 446,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.235836,126.370619,5,1,0,0,0,0,0,1,0
BT000034,1,캐릭파크,제주특별자치도 제주시 조천읍 선교로 264,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.479712,126.700689,5,1,0,0,0,0,0,1,0
BT000034,2,캐릭파크,제주특별자치도 제주시 조천읍 선교로 264,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.479712,126.700689,10,2,1,0,0,0,0,2,0
BT000035,1,과수원피스,제주특별자치도 제주시 한림읍 한림로 176-2,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.385369,126.227464,5,1,0,0,0,0,0,1,0
BT000036,1,교래아름가든,제주특별자치도 제주시 조천읍 교래3길 24,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.435612,126.678779,5,1,0,0,0,0,0,1,0
BT000037,1,구구토종닭,제주특별자치도 제주시 조천읍 남조로 1767,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.425421,126.674423,5,1,0,0,0,0,0,1,0
BT000038,1,관통사,제주특별자치도 서귀포시 표선면 표선관정로 52,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.326648,126.826629,5,1,0,0,0,0,0,1,0
BT000039,1,꽃머채,제주특별자치도 제주시 애월읍 소길남길 202-4,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.418527,126.376817,5,1,0,0,0,0,0,1,0
BT000040,11,제주안전체험관,제주특별자치도 제주시,24시간 이용가능,Y,보타리에너지(주),1588-5339,2,33.394694,126.372333,2,1,0,0,1,0,0,0,0
BT000040,12,제주안전체험관,제주특별자치도 제주시,24시간 이용가능,Y,보타리에너지(주),1588-5339,2,33.394694,126.372333,4,2,0,0,2,0,0,0,0
BT000040,13,제주안전체험관,제주특별자치도 제주시,24시간 이용가능,Y,보타리에너지(주),1588-5339,2,33.394694,126.372333,6,3,0,0,3,0,0,0,0
BT000040,14,제주안전체험관,제주특별자치도 제주시,24시간 이용가능,Y,보타리에너지(주),1588-5339,2,33.394694,126.372333,8,4,0,0,4,0,0,0,0
BT000040,1,제주안전체험관,제주특별자치도 제주시,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.394694,126.372333,5,5,0,0,0,0,0,1,0
BT000040,2,제주안전체험관,제주특별자치도 제주시,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.394694,126.372333,10,6,1,0,0,0,0,2,0
BT000041,1,음부리카페,제주특별자치도 제주시 한림읍 중산간서로 3905,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.352121,126.257607,5,1,0,0,0,0,0,1,0
BT000042,1,창고내음식점,제주특별자치도 서귀포시 안덕면 창천중앙로 55,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.267362,126.369285,5,1,0,0,0,0,0,1,0
BT000043,1,창천리복지회관,제주특별자치도 서귀포시 안덕면 창천중앙로 31,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.265612,126.368564,5,1,0,0,0,0,0,1,0
BT000044,1,대자연가든,제주특별자치도 제주시 조천읍 함덕리,24시간 이용가능,Y,보타리에너지(주),1588-5339,5,33.5397877,126.675138,5,1,0,0,0,0,0,1,0
BT000045,2,동양콘도,제주특별자치도 제주시 애월읍 애월해안로 708,24시간 이용가능,Y,보타리에너지(주),1588-5339,4,33.4833534,126.3771455,4,1,0,0,0,0,1,0,0
